Телефон SAMSUNG GT-S7390 самсунг,500  ₽,Коломенская,https://www.avito.ru/moskva/telefony/telefon_samsung_gt-s7390_samsung_1912936780
Телефон самсунг а5,4 500  ₽,Тульская,https://www.avito.ru/moskva/telefony/telefon_samsung_a5_1872756060
SAMSUNG Galaxy Note 8 Black Самсунг Гэлакси Нот 8,17 000  ₽,Автозаводская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_8_black_samsung_gelaksi_not_8_1905363158
SAMSUNG Galaxy J5 Pro gold,3 000  ₽,Белорусская,https://www.avito.ru/moskva/telefony/samsung_galaxy_j5_pro_gold_1917542528
Дисплей SAMSUNG Galaxy A3 2017 SM-A320F в сборе с,1 284  ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_samsung_galaxy_a3_2017_sm-a320f_v_sbore_s_1878056809
SAMSUNG galaxy s6 edge,4 000  ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s6_edge_1899327979
Телефон SAMSUNG SGH-X660 (раскладной),650  ₽,Бибирево,https://www.avito.ru/moskva/telefony/telefon_samsung_sgh-x660_raskladnoy_1857042348
"SAMSUNG Galaxy S10 Plus 512Гб Pcт, на гарантии",30 000  ₽,Марксистская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_plus_512gb_pct_na_garantii_1893540960
SAMSUNG Galaxy S8 SM-G950 Дисплей / Экран + замена,7 900  ₽,Цветной бульвар,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_sm-g950_displey_ekran_zamena_1129680810
Самсунг,9 500  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_1903601241
SAMSUNG GT-S5230,499  ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/samsung_gt-s5230_1837975046
SAMSUNG Galaxy S9 Plus Серый,6 990  ₽,Тушинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_plus_seryy_1916275160
SAMSUNG Galaxy note 8 6/64,10 000  ₽,Красногвардейская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_8_664_1895386142
Новые SAMSUNG galaxy Note10 plus n975 demo,26 999  ₽,Маяковская,https://www.avito.ru/moskva/telefony/novye_samsung_galaxy_note10_plus_n975_demo_1441558393
SAMSUNG Galaxy S-II GT-I9100,1 700  ₽,Соколиная гора,https://www.avito.ru/moskva/telefony/samsung_galaxy_s-ii_gt-i9100_1818297097
SAMSUNG j7 2016 (j710),2 000  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_j7_2016_j710_1893568109
Дисплей SAMSUNG Galaxy A5 2017 SM-A520F в сборе с,1 316  ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_samsung_galaxy_a5_2017_sm-a520f_v_sbore_s_1877946456
SAMSUNG Galaxy a30,5 500  ₽,Баррикадная,https://www.avito.ru/moskva/telefony/samsung_galaxy_a30_1905160823
SAMSUNG Galaxy S9 Черный,6 490  ₽,Бибирево,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_chernyy_1916561818
"SAMSUNG Galaxy S8+ 64gb, SAMSUNG Watch 46mm",20 000  ₽,Нахимовский проспект,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_64gb_samsung_watch_46mm_1908466994
Телефон SAMSUNG Galaxy A3 2017,3 999  ₽,Бунинская аллея,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_a3_2017_1909378371
SAMSUNG S10E,20 000  ₽,Селигерская,https://www.avito.ru/moskva/telefony/samsung_s10e_1899184193
Дисплей SAMSUNG Galaxy A3 SM-A310F/DS 2016 в сборе,1 316  ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_samsung_galaxy_a3_sm-a310fds_2016_v_sbore_1878137787
SAMSUNG Galaxy S7 32 Gb,6 000  ₽,Домодедовская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s7_32_gb_1793821296
SAMSUNG galaxy A50),5 000  ₽,Пушкинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a50_1880826831
SAMSUNG Galaxy M 30S). 64 GB,4 999  ₽,Лубянка,https://www.avito.ru/moskva/telefony/samsung_galaxy_m_30s._64_gb_1912090014
"SAMSUNG Galaxy S10,20 N8,9,10 A9,A80 green демо",5 555  ₽,Щелковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s1020_n8910_a9a80_green_demo_1830614614
SAMSUNG Galaxy s9 64 GB,28 500  ₽,Баррикадная,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_64_gb_1672472373
Коробки SAMSUNG S9.S9+,400  ₽,Щелковская,https://www.avito.ru/moskva/telefony/korobki_samsung_s9.s9_1641673458
"SAMSUNG Galaxy S10+ 128Gb (гарантия, чек)",37 990  ₽,Петровский парк,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_128gb_garantiya_chek_1871180858
SAMSUNG galaxy S9+ рст,19 500  ₽,Профсоюзная,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_rst_1913665231
SAMSUNG SGH-X500 SAMSUNG SGH-E840,1 800  ₽,Первомайская,https://www.avito.ru/moskva/telefony/samsung_sgh-x500_samsung_sgh-e840_1522427056
Телефон SAMSUNG j5,4 500  ₽,Алтуфьево,https://www.avito.ru/moskva/telefony/telefon_samsung_j5_1874166925
Ретро SAMSUNG SGH-N100 SAMSUNG SGH-2400,6 000  ₽,Первомайская,https://www.avito.ru/moskva/telefony/retro_samsung_sgh-n100_samsung_sgh-2400_1347126887
SAMSUNG s7 edge запчасти,1 500  ₽,Пушкинская,https://www.avito.ru/moskva/telefony/samsung_s7_edge_zapchasti_1870410272
Телефон SAMSUNG S9,15 000  ₽,Бибирево,https://www.avito.ru/moskva/telefony/telefon_samsung_s9_1912166084
SAMSUNG Galaxy a80 live demo unit,9 000  ₽,Бабушкинская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a80_live_demo_unit_1895026385
Дисплей SAMSUNG Galaxy A6 2018 SM-A600F в сборе с,1 096  ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_samsung_galaxy_a6_2018_sm-a600f_v_sbore_s_1878818527
SAMSUNG a8(2018),1  ₽,Выхино,https://www.avito.ru/moskva/telefony/samsung_a82018_1862530910
"Дисплеи SAMSUNG A3,A5,A7,А30,А50,j5,j7,S5,S6,S7edg",900  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/displei_samsung_a3a5a7a30a50j5j7s5s6s7edg_909967266
Экран SAMSUNG Galaxy S9 SM-G960F/DS,6 050  ₽,Китай-город,https://www.avito.ru/moskva/telefony/ekran_samsung_galaxy_s9_sm-g960fds_1796782344
SAMSUNG A3 2016,3 500  ₽,Алтуфьево,https://www.avito.ru/moskva/telefony/samsung_a3_2016_1878723421
SAMSUNG galaxy z flip,97 000  ₽,Динамо,https://www.avito.ru/moskva/telefony/samsung_galaxy_z_flip_1908746858
SAMSUNG Galaxy Note8 64GB Черный,17 000  ₽,Беломорская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note8_64gb_chernyy_1844463790
SAMSUNG galaxy A5 2016 16 GB. white,4 220  ₽,Жулебино,https://www.avito.ru/moskva/telefony/samsung_galaxy_a5_2016_16_gb._white_1897289462
Плата SAMSUNG galaxy note 9.ldu,3 000  ₽,Щелковская,https://www.avito.ru/moskva/telefony/plata_samsung_galaxy_note_9.ldu_943361226
SAMSUNG Galaxy Note 10 demo unit,22 000  ₽,Царицыно,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_demo_unit_1905376373
Телефон SAMSUNG S6 32 gb,4 000  ₽,Ботанический сад,https://www.avito.ru/moskva/telefony/telefon_samsung_s6_32_gb_1872860888
SAMSUNG Galaxy S7 edge (SM-G935) LDU Платина,6 999  ₽,Щелковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s7_edge_sm-g935_ldu_platina_1514761654
SAMSUNG Galaxy S9. Отличное состояние,18 500  ₽,Менделеевская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9._otlichnoe_sostoyanie_1892540742
Телефон SAMSUNG Galaxy S 7,3 000  ₽,Марьино,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_s_7_1887526205
Самсунг гэлакси j3,3 000  ₽,Строгино,https://www.avito.ru/moskva/telefony/samsung_gelaksi_j3_1793019583
SAMSUNG Galaxy s8,6 500  ₽,Измайловская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_1909237617
Телефон SAMSUNG Note 10,38 900  ₽,Бутырская,https://www.avito.ru/moskva/telefony/telefon_samsung_note_10_1912316537
SAMSUNG A5 2016г,4 200  ₽,Окружная,https://www.avito.ru/moskva/telefony/samsung_a5_2016g_1877975835
Телефон SAMSUNG galaxy s8 + и SAMSUNG galaxy s7 ed,10 000  ₽,Фонвизинская,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_s8_i_samsung_galaxy_s7_ed_1886927063
iPhone 11-11 PRO-11 PRO MAX,57 490  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/iphone_11-11_pro-11_pro_max_1805070931
SAMSUNG Galaxy Note 10 Plus Черный,6 900  ₽,Пятницкое шоссе,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_plus_chernyy_1916224417
SAMSUNG Galaxy S9 Plus 128GB Black PCT,14 000  ₽,Сходненская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_plus_128gb_black_pct_1895594134
SAMSUNG Galaxy S10,26 000  ₽,Павелецкая,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_1904565673
SAMSUNG s8+ g955,6 500  ₽,Проспект Мира,https://www.avito.ru/moskva/telefony/samsung_s8_g955_1913897416
SAMSUNG Note 10 8/256GB (Snapdragon 855),50 999  ₽,Савеловская,https://www.avito.ru/moskva/telefony/samsung_note_10_8256gb_snapdragon_855_1853344590
SAMSUNG Galaxy S8,16 999  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_1780053978
SAMSUNG s8 3-128gb,2 500  ₽,Марьино,https://www.avito.ru/moskva/telefony/samsung_s8_3-128gb_1905382420
Смартфон SAMSUNG Galaxy S10 8/128Gb Аквамарин,32 590  ₽,Алтуфьево,https://www.avito.ru/moskva/telefony/smartfon_samsung_galaxy_s10_8128gb_akvamarin_1900416719
Телефон SAMSUNG SGH-X480 торг,499  ₽,Рязанский проспект,https://www.avito.ru/moskva/telefony/telefon_samsung_sgh-x480_torg_1871255526
SAMSUNG Galaxy S9 Plus 256Гб (P0cтест+Гарантия),15 000  ₽,Комсомольская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_plus_256gb_p0ctestgarantiya_1897021275
SAMSUNG s9+ на снапе + SAMSUNG watch 42mm в пленка,14 999  ₽,,https://www.avito.ru/moskva_zelenograd/telefony/samsung_s9_na_snape_samsung_watch_42mm_v_plenka_1905347073?slocation=637640
SAMSUNG galaxy a5 2016 16 гб White,4 639  ₽,Хорошево,https://www.avito.ru/moskva/telefony/samsung_galaxy_a5_2016_16_gb_white_1897528839
SAMSUNG Galaxy J727F смартфон,4 500  ₽,Коломенская,https://www.avito.ru/moskva/telefony/samsung_galaxy_j727f_smartfon_1783599390
SAMSUNG galaxy s3 frontier,5 000  ₽,Выхино,https://www.avito.ru/moskva/telefony/samsung_galaxy_s3_frontier_1915335286
SAMSUNG Galaxy J8 gold 64gb,4 000  ₽,Дубровка,https://www.avito.ru/moskva/telefony/samsung_galaxy_j8_gold_64gb_1915199803
SAMSUNG Galaxy A 70 Black,6 690  ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/samsung_galaxy_a_70_black_1765611211
SAMSUNG galaxy A7 a750 black demo,4 500  ₽,Маяковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a7_a750_black_demo_1543190181
SAMSUNG Galaxy S7 - 32GB - Gold,5 000  ₽,Охотный ряд,https://www.avito.ru/moskva/telefony/samsung_galaxy_s7_-_32gb_-_gold_1913330224
SAMSUNG galaxy Note 10 8/256 Aura рст. новый,49 000  ₽,Сухаревская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_8256_aura_rst._novyy_1887329416
SAMSUNG Galaxy s10 Plus 8/128 Только обмен,34 999  ₽,Боровское шоссе,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_plus_8128_tolko_obmen_1889464464
iPhone 11-11 PRO-11 PRO MAX,57 490  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/iphone_11-11_pro-11_pro_max_1805070931
"Constellation X - криптофон, защита от прослушки",71 000  ₽,Пушкинская,https://www.avito.ru/moskva/telefony/constellation_x_-_kriptofon_zaschita_ot_proslushki_1878040589
SAMSUNG Galaxy s10 Plus 8/128 Только обмен,34 999  ₽,Боровское шоссе,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10_plus_8128_tolko_obmen_1889464464
SAMSUNG s20 ultra серый ртс с чеками,84 000  ₽,Фонвизинская,https://www.avito.ru/moskva/telefony/samsung_s20_ultra_seryy_rts_s_chekami_1899632675
Самсунг s9,16 000  ₽,,https://www.avito.ru/moskva_zelenograd/telefony/samsung_s9_1893990245?slocation=637640
SAMSUNG Galaxy a5 2016 16 GB. gold,4 220  ₽,Полянка,https://www.avito.ru/moskva/telefony/samsung_galaxy_a5_2016_16_gb._gold_1897528393
SAMSUNG s8,9 990  ₽,Дмитровская,https://www.avito.ru/moskva/telefony/samsung_s8_1901219530
SAMSUNG Galaxy A3 2017 16 gb Black Sky,4 190  ₽,Киевская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a3_2017_16_gb_black_sky_1897872610
SAMSUNG s10e Самсунг с10е,26 000  ₽,Нагорная,https://www.avito.ru/moskva/telefony/samsung_s10e_samsung_s10e_1901090919
SAMSUNG galaxy s8,12 999  ₽,Зорге,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_1847850300
Телефон SAMSUNG Galaxy A30,7 600  ₽,Лубянка,https://www.avito.ru/moskva/telefony/telefon_samsung_galaxy_a30_1898092910
SAMSUNG A10 битый экран,Цена не указана,Митино,https://www.avito.ru/moskva/telefony/samsung_a10_bityy_ekran_1890547711
Телефон SAMSUNG A80,18 000  ₽,Аэропорт,https://www.avito.ru/moskva/telefony/telefon_samsung_a80_1899335307
SAMSUNG galaxy S20 g980f/do 128gb red demo,26 000  ₽,Щелковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s20_g980fdo_128gb_red_demo_1894820051
SAMSUNG S8 64 gb,12 000  ₽,Измайлово,https://www.avito.ru/moskva/telefony/samsung_s8_64_gb_1890526149
"Защитное стекло SAMSUNG A50, Самсунг А50, А30. 3D",300  ₽,Улица 1905 года,https://www.avito.ru/moskva/telefony/zaschitnoe_steklo_samsung_a50_samsung_a50_a30._3d_1585526417
SAMSUNG A70 128gb,13 000  ₽,Медведково,https://www.avito.ru/moskva/telefony/samsung_a70_128gb_1887513164
iPhone 6S 64Gb Rose Gold LTE,10 350  ₽,Новослободская,https://www.avito.ru/moskva/telefony/iphone_6s_64gb_rose_gold_lte_1875417412
Телефон SAMSUNG,5 000  ₽,,https://www.avito.ru/moskva_zelenograd/telefony/telefon_samsung_1899840735?slocation=637640
SAMSUNG SGH-S342i SAMSUNG SGH-D830,2 000  ₽,Первомайская,https://www.avito.ru/moskva/telefony/samsung_sgh-s342i_samsung_sgh-d830_939451354
SAMSUNG j7 2017,4 000  ₽,Курская,https://www.avito.ru/moskva/telefony/samsung_j7_2017_1908886144
SAMSUNG Galaxy s8 Ростест,5 000  ₽,Автозаводская,https://www.avito.ru/moskva/telefony/samsung_galaxy_s8_rostest_1891480186
SAMSUNG flip Z 12gb/256gb blakc рст,114 800  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/samsung_flip_z_12gb256gb_blakc_rst_1872982539
SAMSUNG S8+ Plus,14 990  ₽,Отрадное,https://www.avito.ru/moskva/telefony/samsung_s8_plus_1896380591
SAMSUNG SGH-G600 SAMSUNG SGH-M300 SAMSUNG E1182,1 600  ₽,Первомайская,https://www.avito.ru/moskva/telefony/samsung_sgh-g600_samsung_sgh-m300_samsung_e1182_1355851835
Смартфон SAMSUNG A50 64gb,9 000  ₽,Братиславская,https://www.avito.ru/moskva/telefony/smartfon_samsung_a50_64gb_1912897180
Телефон SAMSUNG,8 800  ₽,Улица Скобелевская,https://www.avito.ru/moskva/telefony/telefon_samsung_1857604427
"Телефон SAMSUNG A30 (новый, ростест, гарантия)",10 000  ₽,Маяковская,https://www.avito.ru/moskva/telefony/telefon_samsung_a30_novyy_rostest_garantiya_1878159410
SAMSUNG galaxy Note 10 n770x 128гб demo,17 999  ₽,Щелковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_n770x_128gb_demo_1862759114
SAMSUNG Galaxy Note 10+,30 000  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_10_1889743942
SAMSUNG Galaxy a5 2015 16 гб. золотой,3 520  ₽,Лермонтовский проспект,https://www.avito.ru/moskva/telefony/samsung_galaxy_a5_2015_16_gb._zolotoy_1897579056
SAMSUNG Galaxy A20s Зеленый,5 000  ₽,Бульвар Дмитрия Донского,https://www.avito.ru/moskva/telefony/samsung_galaxy_a20s_zelenyy_1916302449
Телефон SAMSUNG,1 200  ₽,Багратионовская,https://www.avito.ru/moskva/telefony/telefon_samsung_1822806950
Дисплей SAMSUNG Galaxy A7 2017 SM-A720F oled в сбо,2 535  ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_samsung_galaxy_a7_2017_sm-a720f_oled_v_sbo_1878490651
SAMSUNG GalaxyS8,9 000  ₽,Печатники,https://www.avito.ru/moskva/telefony/samsung_galaxys8_1908883621
SAMSUNG Galaxy S9 Plus Лиловый,6 990  ₽,Молодежная,https://www.avito.ru/moskva/telefony/samsung_galaxy_s9_plus_lilovyy_1553172673
Новый чехол SAMSUNG Galaxy S7 View Cover (Самсунг,700  ₽,Говорово,https://www.avito.ru/moskva/telefony/novyy_chehol_samsung_galaxy_s7_view_cover_samsung_1908348908
SAMSUNG Galaxy s10e,24 500  ₽,Молодежная,https://www.avito.ru/moskva/telefony/samsung_galaxy_s10e_1908453668
"SAMSUNG Galaxy j7 2017, голубой + чехол",6 500  ₽,Жулебино,https://www.avito.ru/moskva/telefony/samsung_galaxy_j7_2017_goluboy_chehol_1891597282
SAMSUNG A50 64Gb,6 500  ₽,Площадь революции,https://www.avito.ru/moskva/telefony/samsung_a50_64gb_1891621068
SAMSUNG galaxy A6 plus 32 гб black,7 540  ₽,Маяковская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a6_plus_32_gb_black_1897056993
SAMSUNG S10+,38 000  ₽,Савеловская,https://www.avito.ru/moskva/telefony/samsung_s10_1903761628
SAMSUNG galaxy A7 2015 16 гб Черный,4 750  ₽,Тверская,https://www.avito.ru/moskva/telefony/samsung_galaxy_a7_2015_16_gb_chernyy_1897851035
SAMSUNG galaxy note 9 512Gb,25 800  ₽,Волгоградский проспект,https://www.avito.ru/moskva/telefony/samsung_galaxy_note_9_512gb_1891052866
SAMSUNG Galaxy j5 prime,5 200  ₽,Молодежная,https://www.avito.ru/moskva/telefony/samsung_galaxy_j5_prime_1908642504
